0,5,45269,F,광주광역시 남구,61730,35,28324,2002-02-13 0:00,2022481,4186483,176356702,1180631,183746297,GOLD,A1406,1523384,캡다리 교자상 1200x800 6인용 접이식 밥상 집들이,114000,B0402,1335399,EKASN 4K 6K 카메라 GPS 접이식 드론 사은품 증정,199000
1,42,77329,M,인천광역시 강화군,23042,49,0,2012-08-14 0:00,2785649,4537297,3313609,5958346,16594901,Silver,E0122,2752516,부릉이 전기 자전거 41cm 16인치,1172680,A1402,1364793,신품SSD무상업 세로모드지원 HP 일체형PC 600G2AIO i5 6세대 윈10프로 웹캠 리퍼,414860
2,88,100887,F,부산광역시 남구,48564,23,99999,2011-07-18 0:00,100900041,6006074,338278193,5814729,450999037,GOLD,A1909,4002069,[곽현주컬렉션] POCKET ZIPPER NAVY STRIPE JACKET,839630,B0401,294838,|여행페스타|지역명사와 함께하는 여행1탄_울산1박2일_옹기체험_외고산옹기마을+울산시립미술관+대왕암공원,159000
3,133,87008,M,서울특별시 은평구,3426,28,44151,1999-02-01 0:00,1539794,2286051,4728300,11805012,20359157,GOLD,A0306,1829649,매직우드 B세트 원목 블럭 장난감 폴란드생산 36P,84860,E0201,867002,인스타360 GO2 셀피스틱 키트 32GB 방수 카메라 정품,374870
4,156,1848,M,인천광역시 강화군,23058,64,23531,2005-01-13 0:00,33086000,2793453,3724555,3723878,43327886,GOLD,A1807,4080511,EPSON)라벨프린터 OK600P,458590,A0804,146269,매일 아몬드브리즈 초콜릿 190ml 48팩/두유,35020
5,207,63007,M,부산광역시 사하구,49476,59,31411,1999-07-29 0:00,1617456,1708576,2551731,1821927,7699690,Silver,A0211,3472162,[G] LG 드럼세탁기 17KG  F17WDBP,708520,A2001,640986,SIM2 MAX 아이언 8피스 스틸 심2 맥스 4 PA 세금포함,1063750
6,214,79353,M,대전광역시 중구,35046,86,99991,2012-08-09 0:00,3437136,2457210,2791257,2328360,11013963,Silver,A1105,1099207,삼성 김치냉장고 RQ42A94B1AP 삼성물류직배/전국무료,2739560,A0807,83160,브이건 핸디형 무선청소기 VB-V1600B 차량용 에어건 블로워,89000
7,258,53778,F,대전광역시 동구,34569,40,72134,2013-05-04 0:00,105970780,2645191,1950061,3286551,113852583,GOLD,F0803,4071161,포모나 청포도 톡톡 베이스 1.2kg 8개입 박스,137860,M0107,772605,삼성전자 갤럭시Z 플립3 256GB 자급제 크림 색상선택,930420
8,313,21579,M,부산광역시 금정구,46300,58,0,2000-12-20 0:00,151940699,4094460,3669943,1020659,160725761,GOLD,A0407,2461434,L382 블라우스 세트 LCBLMI0200LCSKMI0200,340400,O0303,185304,크레모아 캠핑용 서큘레이터 V600+SB 샌드베이지,52900
9,348,38090,M,서울특별시 관악구,8829,29,52142,2006-02-27 0:00,1959559,5604741,1838953,6697057,16100310,GOLD,F0801,4629814,(롯데백화점)미니 퀼팅 램스킨 카메라백 8032776,1140000,A0207,1452050,소노캄여수(구 엠블호텔여수) 전라/대명/호텔,202000
10,363,59375,F,대구광역시 수성구,42100,39,31222,2015-12-08 0:00,2378926,3943645,3244339,2452355,12019265,Silver,A0311,3830391,[곽현주컬렉션] 스트라이프 와이드 팬츠(PINK),391400,A0410,575888,(명품직구)보테가베네타 아크로 레더 토트백 블루 580725,2213500
11,378,54945,M,부산광역시 해운대구,48018,52,89111,2014-01-09 0:00,4750331,1565647,1004099,4600082,11920159,Silver,O0303,1948616,MMS336 스타워즈 레이,289000,O0301,503965,덕유산리조트(무주리조트/전라도/스키장),112000
12,392,47287,M,울산광역시 북구,44211,49,72249,2002-02-11 0:00,322748965,6378302,2738518,10614887,342480672,GOLD,D1001,4543468,삼성정품 SSD외장하드 T7 1TB 블루 1테라 (파우치증정),137830,A0409,1687493,피주얼리 프레스 포나인 골드바 순금 3g 24k,307990
13,393,83167,F,부산광역시 남구,48565,47,0,2003-09-23 0:00,8989599,3182160,17232897,1030409,30435065,Silver,C0105,1892488,SKT 보상기변 갤럭시Z폴드2 공시지원 SM-F916N 256G,358160,A1909,996339,(명품직구) ARENA 로고 레더 스트랩 키링 499950 BLACK,291650
14,398,86826,M,서울특별시 성북구,2822,81,0,2007-05-13 0:00,2089246,8607079,9796434,24303863,44796622,GOLD,E0201,3268106,B4051346 C 드 1P 다이아 웨딩 밴드 반지 46(6호),1290000,A0312,1204069,메모리 교체형 장시간 8일 녹음기 8GB 대용량 AT200,145150
15,400,31204,M,서울특별시 구로구,8339,77,0,2011-08-18 0:00,4417184,2191449,1215940,1040448,8865021,Silver,H0207,1010075,듀로 H3 88 해머 건반 전자 디지털피아노,625000,A1201,1233424,65UT640S0UA UHD 상업용tv 165cm(65) 수도권스탠드,795690
16,432,52460,M,대전광역시 동구,34591,53,31423,2013-09-02 0:00,2932255,2355005,39751109,1437525,46475894,GOLD,E0105,4551989,[보테가베네타] 162150 V001N 1000 인트레치아토 카드지갑 블랙,253380,A0409,1350232,[인증점]위니아 클라쎄 일반냉장고 FR-G517SPS 506L,719580
