28324,2832,283,28,2
0,0,0,0,0
99999,9999,999,99,9
44151,4415,441,44,4
23531,2353,235,23,2
31411,3141,314,31,3
99991,9999,999,99,9
72134,7213,721,72,7
0,0,0,0,0
52142,5214,521,52,5
31222,3122,312,31,3
89111,8911,891,89,8
72249,7224,722,72,7
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
31423,3142,314,31,3
43291,4329,432,43,4
39224,3922,392,39,3
53120,5312,531,53,5
0,0,0,0,0
42241,4224,422,42,4
95310,9531,953,95,9
0,0,0,0,0
31150,3115,311,31,3
0,0,0,0,0
52209,5220,522,52,5
0,0,0,0,0
23139,2313,231,23,2
51011,5101,510,51,5
0,0,0,0,0
87102,8710,871,87,8
27434,2743,274,27,2
0,0,0,0,0
0,0,0,0,0
25411,2541,254,25,2
28545,2854,285,28,2
23163,2316,231,23,2
83212,8321,832,83,8
42930,4293,429,42,4
0,0,0,0,0
0,0,0,0,0
72290,7229,722,72,7
0,0,0,0,0
85429,8542,854,85,8
28559,2855,285,28,2
0,0,0,0,0
42241,4224,422,42,4
51011,5101,510,51,5
13502,1350,135,13,1
0,0,0,0,0
23313,2331,233,23,2
0,0,0,0,0
85302,8530,853,85,8
85432,8543,854,85,8
42210,4221,422,42,4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
31272,3127,312,31,3
39223,3922,392,39,3
43232,4323,432,43,4
39911,3991,399,39,3
52204,5220,522,52,5
0,0,0,0,0
31213,3121,312,31,3
99999,9999,999,99,9
42192,4219,421,42,4
81121,8112,811,81,8
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
51029,5102,510,51,5
0,0,0,0,0
32051,3205,320,32,3
52129,5212,521,52,5
0,0,0,0,0
31310,3131,313,31,3
0,0,0,0,0
0,0,0,0,0
27449,2744,274,27,2
0,0,0,0,0
0,0,0,0,0
39221,3922,392,39,3
52121,5212,521,52,5
0,0,0,0,0
0,0,0,0,0
42291,4229,422,42,4
52133,5213,521,52,5
0,0,0,0,0
44152,4415,441,44,4
0,0,0,0,0
86404,8640,864,86,8
79999,7999,799,79,7
0,0,0,0,0
15909,1590,159,15,1
14123,1412,141,14,1
0,0,0,0,0
89909,8990,899,89,8
52125,5212,521,52,5
53220,5322,532,53,5
32010,3201,320,32,3
31219,3121,312,31,3
21123,2112,211,21,2
31263,3126,312,31,3
89909,8990,899,89,8
42332,4233,423,42,4
85442,8544,854,85,8
31230,3123,312,31,3
52142,5214,521,52,5
99999,9999,999,99,9
89111,8911,891,89,8
0,0,0,0,0
43239,4323,432,43,4
31230,3123,312,31,3
28112,2811,281,28,2
52209,5220,522,52,5
31221,3122,312,31,3
23432,2343,234,23,2
42111,4211,421,42,4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
44191,4419,441,44,4
71051,7105,710,71,7
31310,3131,313,31,3
24142,2414,241,24,2
83221,8322,832,83,8
0,0,0,0,0
31222,3122,312,31,3
52112,5211,521,52,5
42241,4224,422,42,4
0,0,0,0,0
71020,7102,710,71,7
0,0,0,0,0
33020,3302,330,33,3
85203,8520,852,85,8
99999,9999,999,99,9
92230,9223,922,92,9
0,0,0,0,0
0,0,0,0,0
52127,5212,521,52,5
0,0,0,0,0
0,0,0,0,0
32010,3201,320,32,3
28632,2863,286,28,2
24201,2420,242,24,2
78494,7849,784,78,7
44191,4419,441,44,4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
51029,5102,510,51,5
73022,7302,730,73,7
76221,7622,762,76,7
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
86403,8640,864,86,8
75399,7539,753,75,7
42921,4292,429,42,4
44222,4422,442,44,4
12122,1212,121,12,1
0,0,0,0,0
0,0,0,0,0
87332,8733,873,87,8
28511,2851,285,28,2
25217,2521,252,25,2
0,0,0,0,0
0,0,0,0,0
24812,2481,248,24,2
0,0,0,0,0
31272,3127,312,31,3
0,0,0,0,0
13132,1313,131,13,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
13509,1350,135,13,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
92229,9222,922,92,9
0,0,0,0,0
33011,3301,330,33,3
99999,9999,999,99,9
0,0,0,0,0
15111,1511,151,15,1
95310,9531,953,95,9
0,0,0,0,0
0,0,0,0,0
42911,4291,429,42,4
42210,4221,422,42,4
23716,2371,237,23,2
26120,2612,261,26,2
0,0,0,0,0
0,0,0,0,0
